product_id,sku,name,category,uom,unit_cost,unit_price,is_dish,perishable,is_produce,co2e_kg_per_uom,portion_kg,plannable
ING_BESAN,SKU-BESAN,Gram flour,dry,kg,90.0,,0,0,0,1.6,,0
ING_OIL,SKU-OIL,Refined oil,dry,kg,145.0,,0,0,0,3.3,,0
ING_CASHEW,SKU-CASHEW,Cashew,dry,kg,850.0,,0,0,0,4.1,,0
ING_COCONUT,SKU-COCONUT,Coconut,dry,kg,45.0,,0,0,0,1.1,,0
ING_TOORDAL,SKU-TOORDAL,Toor dal,dry,kg,165.0,,0,0,0,1.8,,0
ING_BATTER,SKU-BATTER,Dosa batter,prepared,kg,70.0,,0,1,0,1.5,,0
DSH_CHBIRYANI,MENU-CHBIRYANI,Chicken Biryani,dish,portion,95.28,275.0,1,1,0,2.527,0.45,1
DSH_VGBIRYANI,MENU-VGBIRYANI,Veg Biryani,dish,portion,45.65,210.0,1,1,0,0.952,0.42,1
DSH_PBM,MENU-PBM,Paneer Butter Masala,dish,portion,86.85,235.0,1,1,0,1.87,0.3,1
DSH_GOBIMANCH,MENU-GOBIMANCH,Gobi Manchurian,dish,portion,28.98,180.0,1,1,0,0.522,0.28,1
DSH_PALAK,MENU-PALAK,Palak Paneer,dish,portion,54.11,220.0,1,1,0,1.202,0.3,1
DSH_NAAN,MENU-NAAN,Butter Naan,dish,portion,9.91,48.0,1,1,0,0.263,0.09,0
DSH_ROTI,MENU-ROTI,Tandoori Roti,dish,portion,3.74,28.0,1,1,0,0.109,0.07,0
DSH_JEERARICE,MENU-JEERARICE,Jeera Rice,dish,portion,24.36,130.0,1,1,0,0.547,0.28,1
DSH_DALTADKA,MENU-DALTADKA,Dal Tadka,dish,portion,23.08,145.0,1,1,0,0.358,0.3,1
DSH_ROGANJOSH,MENU-ROGANJOSH,Mutton Rogan Josh,dish,portion,210.18,385.0,1,1,0,10.704,0.32,1
DSH_VEGPULAO,MENU-VEGPULAO,Veg Pulao,dish,portion,35.7,170.0,1,1,0,0.723,0.35,1
DSH_DOSA,MENU-DOSA,Masala Dosa,dish,portion,23.41,105.0,1,1,0,0.473,0.25,0
DSH_MIXVEG,MENU-MIXVEG,Mixed Veg Curry,dish,portion,20.02,185.0,1,1,0,0.375,0.3,1
DSH_FISHCURRY,MENU-FISHCURRY,Fish Curry,dish,portion,107.77,290.0,1,1,0,1.302,0.3,1
DSH_SIDES,MENU-SIDES,"Salad, Raita & Accompaniments",dish,portion,9.11,0.0,1,1,0,0.189,0.25,0
