waste_id,site_id,business_date,product_id,batch_id,qty,uom,value,reason,stage,capture_method,note
W000023,SITE_KIT_01,2025-11-15,ING_CORIANDER,,0.077,kg,4.61,prep_trim,prep,manual,yield 0.86 on 1.34 kg net
W000024,SITE_KIT_01,2025-11-15,ING_CARROT,,0.352,kg,15.82,prep_trim,prep,manual,yield 0.87 on 6.79 kg net
W000025,SITE_KIT_01,2025-11-15,ING_BEANS,,0.152,kg,9.11,prep_trim,prep,manual,yield 0.90 on 4.23 kg net
W000026,SITE_KIT_01,2025-11-15,ING_CAULI,,5.554,kg,222.14,prep_trim,prep,manual,yield 0.50 on 16.59 kg net
W000027,SITE_KIT_01,2025-11-15,ING_POTATO,,0.728,kg,20.38,prep_trim,prep,manual,yield 0.86 on 13.14 kg net
W000028,SITE_KIT_01,2025-11-15,ING_CAPSICUM,,0.263,kg,21.05,prep_trim,prep,manual,yield 0.83 on 3.85 kg net
W000029,SITE_KIT_01,2025-11-15,ING_SPINACH,,0.864,kg,25.91,prep_trim,prep,manual,yield 0.77 on 8.55 kg net
W000030,SITE_KIT_01,2025-11-15,ING_LEMON,,0.346,kg,31.13,prep_trim,prep,manual,yield 0.56 on 1.29 kg net
W000031,SITE_KIT_01,2025-11-15,ING_CUCUMBER,,0.249,kg,8.7,prep_trim,prep,manual,yield 0.85 on 4.21 kg net
W000032,SITE_KIT_01,2025-11-15,ING_CABBAGE,,0.142,kg,3.55,prep_trim,prep,manual,yield 0.87 on 2.81 kg net
W000033,SITE_KIT_01,2025-11-15,ING_BANANA,,0.554,kg,30.44,prep_trim,prep,manual,yield 0.68 on 3.51 kg net
W000034,SITE_KIT_01,2025-11-15,ING_BRINJAL,,0.172,kg,6.87,prep_trim,prep,manual,yield 0.88 on 3.86 kg net
W000035,SITE_KIT_01,2025-11-15,ING_OKRA,,0.154,kg,8.45,prep_trim,prep,manual,yield 0.91 on 4.56 kg net
W000036,SITE_KIT_01,2025-11-15,ING_MUSHROOM,,0.021,kg,4.53,prep_trim,prep,manual,yield 0.96 on 1.40 kg net
W000037,SITE_KIT_01,2025-11-15,ING_PEAS,B00015,1.031,kg,92.79,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.93"
W000038,SITE_KIT_01,2025-11-15,ING_MINT,B00016,0.144,kg,8.64,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.91"
W000039,SITE_KIT_01,2025-11-15,ING_BANANA,B00022,1.134,kg,62.37,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 1.00"
W000040,SITE_KIT_01,2025-11-16,DSH_CHBIRYANI,,0.306,kg,64.79,plate_waste,service,manual,2 plates partly returned
W000041,SITE_KIT_01,2025-11-16,DSH_PBM,,0.48,kg,138.96,overproduction,post_service,pos_derived,"8 portions unsold, 1.6 binned"
W000042,SITE_KIT_01,2025-11-16,DSH_PBM,,0.204,kg,59.06,plate_waste,service,manual,2 plates partly returned
W000043,SITE_KIT_01,2025-11-16,DSH_GOBIMANCH,,0.882,kg,91.29,overproduction,post_service,pos_derived,"7 portions unsold, 3.1 binned"
W000044,SITE_KIT_01,2025-11-16,DSH_GOBIMANCH,,0.19,kg,19.71,plate_waste,service,manual,2 plates partly returned
W000045,SITE_KIT_01,2025-11-16,DSH_PALAK,,0.204,kg,36.79,plate_waste,service,manual,2 plates partly returned
W000046,SITE_KIT_01,2025-11-16,DSH_NAAN,,0.092,kg,10.11,plate_waste,service,manual,3 plates partly returned
W000047,SITE_KIT_01,2025-11-16,DSH_ROTI,,0.095,kg,5.09,plate_waste,service,manual,4 plates partly returned
W000048,SITE_KIT_01,2025-11-16,DSH_JEERARICE,,0.308,kg,26.8,overproduction,post_service,pos_derived,"5 portions unsold, 1.1 binned"
W000049,SITE_KIT_01,2025-11-16,DSH_JEERARICE,,0.095,kg,8.28,plate_waste,service,manual,1 plates partly returned
W000050,SITE_KIT_01,2025-11-16,DSH_DALTADKA,,0.306,kg,23.54,plate_waste,service,manual,3 plates partly returned
W000051,SITE_KIT_01,2025-11-16,DSH_ROGANJOSH,,0.576,kg,378.32,overproduction,post_service,pos_derived,"10 portions unsold, 1.8 binned"
W000052,SITE_KIT_01,2025-11-16,DSH_VEGPULAO,,0.672,kg,68.54,overproduction,post_service,pos_derived,"8 portions unsold, 1.9 binned"
W000053,SITE_KIT_01,2025-11-16,DSH_MIXVEG,,0.792,kg,52.85,overproduction,post_service,pos_derived,"11 portions unsold, 2.6 binned"
W000054,SITE_KIT_01,2025-11-16,DSH_FISHCURRY,,0.648,kg,232.78,overproduction,post_service,pos_derived,"9 portions unsold, 2.2 binned"
W000055,SITE_KIT_01,2025-11-16,DSH_FISHCURRY,,0.102,kg,36.64,plate_waste,service,manual,1 plates partly returned
W000056,SITE_KIT_01,2025-11-16,ING_ONION,,0.961,kg,36.53,prep_trim,prep,manual,yield 0.91 on 28.91 kg net
W000057,SITE_KIT_01,2025-11-16,ING_TOMATO,,0.281,kg,8.98,prep_trim,prep,manual,yield 0.97 on 22.94 kg net
W000058,SITE_KIT_01,2025-11-16,ING_GINGER,,0.037,kg,4.46,prep_trim,prep,manual,yield 0.90 on 0.95 kg net
W000059,SITE_KIT_01,2025-11-16,ING_GARLIC,,0.073,kg,13.11,prep_trim,prep,manual,yield 0.87 on 1.48 kg net
W000060,SITE_KIT_01,2025-11-16,ING_GCHILLI,,0.027,kg,1.88,prep_trim,prep,manual,yield 0.94 on 1.35 kg net
W000061,SITE_KIT_01,2025-11-16,ING_MINT,,0.031,kg,1.84,prep_trim,prep,manual,yield 0.86 on 0.54 kg net
W000062,SITE_KIT_01,2025-11-16,ING_CORIANDER,,0.059,kg,3.55,prep_trim,prep,manual,yield 0.87 on 1.13 kg net
W000063,SITE_KIT_01,2025-11-16,ING_CARROT,,0.275,kg,12.37,prep_trim,prep,manual,yield 0.88 on 5.91 kg net
W000064,SITE_KIT_01,2025-11-16,ING_BEANS,,0.161,kg,9.68,prep_trim,prep,manual,yield 0.88 on 3.62 kg net
W000065,SITE_KIT_01,2025-11-16,ING_CAULI,,4.595,kg,183.79,prep_trim,prep,manual,yield 0.52 on 14.50 kg net
W000066,SITE_KIT_01,2025-11-16,ING_POTATO,,0.753,kg,21.08,prep_trim,prep,manual,yield 0.84 on 11.57 kg net
W000067,SITE_KIT_01,2025-11-16,ING_CAPSICUM,,0.174,kg,13.95,prep_trim,prep,manual,yield 0.87 on 3.33 kg net
W000068,SITE_KIT_01,2025-11-16,ING_SPINACH,,0.668,kg,20.04,prep_trim,prep,manual,yield 0.78 on 7.10 kg net
W000069,SITE_KIT_01,2025-11-16,ING_LEMON,,0.318,kg,28.63,prep_trim,prep,manual,yield 0.56 on 1.19 kg net
W000070,SITE_KIT_01,2025-11-16,ING_CUCUMBER,,0.204,kg,7.15,prep_trim,prep,manual,yield 0.87 on 3.93 kg net
W000071,SITE_KIT_01,2025-11-16,ING_CABBAGE,,0.101,kg,2.53,prep_trim,prep,manual,yield 0.90 on 2.62 kg net
W000072,SITE_KIT_01,2025-11-16,ING_BANANA,,0.516,kg,28.37,prep_trim,prep,manual,yield 0.68 on 3.28 kg net
W000073,SITE_KIT_01,2025-11-16,ING_BRINJAL,,0.147,kg,5.89,prep_trim,prep,manual,yield 0.89 on 3.60 kg net
W000074,SITE_KIT_01,2025-11-16,ING_OKRA,,0.146,kg,8.04,prep_trim,prep,manual,yield 0.91 on 4.26 kg net
W000075,SITE_KIT_01,2025-11-16,ING_MUSHROOM,,0.023,kg,5.06,prep_trim,prep,manual,yield 0.95 on 1.31 kg net
W000076,SITE_KIT_01,2025-11-17,DSH_CHBIRYANI,,0.153,kg,32.4,plate_waste,service,manual,1 plates partly returned
W000077,SITE_KIT_01,2025-11-17,DSH_VGBIRYANI,,0.521,kg,56.61,overproduction,post_service,pos_derived,"4 portions unsold, 1.2 binned"
W000078,SITE_KIT_01,2025-11-17,DSH_PBM,,0.102,kg,29.53,plate_waste,service,manual,1 plates partly returned
W000079,SITE_KIT_01,2025-11-17,DSH_GOBIMANCH,,0.19,kg,19.71,plate_waste,service,manual,2 plates partly returned
W000080,SITE_KIT_01,2025-11-17,DSH_JEERARICE,,0.37,kg,32.16,overproduction,post_service,pos_derived,"6 portions unsold, 1.3 binned"
W000081,SITE_KIT_01,2025-11-17,DSH_ROGANJOSH,,0.109,kg,71.46,plate_waste,service,manual,1 plates partly returned
W000082,SITE_KIT_01,2025-11-17,DSH_VEGPULAO,,0.672,kg,68.54,overproduction,post_service,pos_derived,"8 portions unsold, 1.9 binned"
W000083,SITE_KIT_01,2025-11-17,DSH_DOSA,,0.17,kg,15.92,plate_waste,service,manual,2 plates partly returned
W000084,SITE_KIT_01,2025-11-17,DSH_MIXVEG,,0.306,kg,20.42,plate_waste,service,manual,3 plates partly returned
W000085,SITE_KIT_01,2025-11-17,DSH_FISHCURRY,,0.216,kg,77.59,overproduction,post_service,pos_derived,"3 portions unsold, 0.7 binned"
W000086,SITE_KIT_01,2025-11-17,ING_ONION,,0.703,kg,26.73,prep_trim,prep,manual,yield 0.90 on 18.60 kg net
W000087,SITE_KIT_01,2025-11-17,ING_TOMATO,,0.162,kg,5.18,prep_trim,prep,manual,yield 0.97 on 15.05 kg net
W000088,SITE_KIT_01,2025-11-17,ING_GINGER,,0.022,kg,2.64,prep_trim,prep,manual,yield 0.90 on 0.58 kg net
W000089,SITE_KIT_01,2025-11-17,ING_GARLIC,,0.046,kg,8.37,prep_trim,prep,manual,yield 0.87 on 0.93 kg net
W000090,SITE_KIT_01,2025-11-17,ING_CORIANDER,,0.048,kg,2.86,prep_trim,prep,manual,yield 0.83 on 0.71 kg net
W000091,SITE_KIT_01,2025-11-17,ING_CARROT,,0.152,kg,6.86,prep_trim,prep,manual,yield 0.89 on 3.79 kg net
W000092,SITE_KIT_01,2025-11-17,ING_BEANS,,0.089,kg,5.37,prep_trim,prep,manual,yield 0.90 on 2.30 kg net
W000093,SITE_KIT_01,2025-11-17,ING_CAULI,,2.691,kg,107.63,prep_trim,prep,manual,yield 0.53 on 8.92 kg net
W000094,SITE_KIT_01,2025-11-17,ING_POTATO,,0.524,kg,14.67,prep_trim,prep,manual,yield 0.86 on 9.11 kg net
W000095,SITE_KIT_01,2025-11-17,ING_CAPSICUM,,0.133,kg,10.67,prep_trim,prep,manual,yield 0.84 on 2.08 kg net
W000096,SITE_KIT_01,2025-11-17,ING_SPINACH,,0.453,kg,13.58,prep_trim,prep,manual,yield 0.77 on 4.55 kg net
W000097,SITE_KIT_01,2025-11-17,ING_LEMON,,0.211,kg,19.03,prep_trim,prep,manual,yield 0.55 on 0.77 kg net
W000098,SITE_KIT_01,2025-11-17,ING_CUCUMBER,,0.143,kg,4.99,prep_trim,prep,manual,yield 0.86 on 2.61 kg net
W000099,SITE_KIT_01,2025-11-17,ING_CABBAGE,,0.074,kg,1.85,prep_trim,prep,manual,yield 0.89 on 1.74 kg net
W000100,SITE_KIT_01,2025-11-17,ING_BANANA,,0.333,kg,18.31,prep_trim,prep,manual,yield 0.69 on 2.17 kg net
W000101,SITE_KIT_01,2025-11-17,ING_BRINJAL,,0.108,kg,4.32,prep_trim,prep,manual,yield 0.88 on 2.39 kg net
W000102,SITE_KIT_01,2025-11-17,ING_OKRA,,0.097,kg,5.32,prep_trim,prep,manual,yield 0.91 on 2.82 kg net
W000103,SITE_KIT_01,2025-11-17,ING_CORIANDER,B00049,0.085,kg,5.1,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.90"
W000104,SITE_KIT_01,2025-11-17,ING_CABBAGE,B00053,0.695,kg,17.38,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.93"
W000105,SITE_KIT_01,2025-11-18,DSH_VGBIRYANI,,0.781,kg,84.91,overproduction,post_service,pos_derived,"6 portions unsold, 1.9 binned"
W000106,SITE_KIT_01,2025-11-18,DSH_PBM,,0.96,kg,277.92,overproduction,post_service,pos_derived,"16 portions unsold, 3.2 binned"
W000107,SITE_KIT_01,2025-11-18,DSH_PBM,,0.102,kg,29.53,plate_waste,service,manual,1 plates partly returned
W000108,SITE_KIT_01,2025-11-18,DSH_GOBIMANCH,,0.095,kg,9.85,plate_waste,service,manual,1 plates partly returned
W000109,SITE_KIT_01,2025-11-18,DSH_PALAK,,0.33,kg,59.52,overproduction,post_service,pos_derived,"5 portions unsold, 1.1 binned"
W000110,SITE_KIT_01,2025-11-18,DSH_NAAN,,0.031,kg,3.37,plate_waste,service,manual,1 plates partly returned
W000111,SITE_KIT_01,2025-11-18,DSH_ROTI,,0.095,kg,5.09,plate_waste,service,manual,4 plates partly returned
W000112,SITE_KIT_01,2025-11-18,DSH_JEERARICE,,0.308,kg,26.8,overproduction,post_service,pos_derived,"5 portions unsold, 1.1 binned"
W000113,SITE_KIT_01,2025-11-18,DSH_JEERARICE,,0.095,kg,8.28,plate_waste,service,manual,1 plates partly returned
W000114,SITE_KIT_01,2025-11-18,DSH_DALTADKA,,0.63,kg,48.47,overproduction,post_service,pos_derived,"14 portions unsold, 2.1 binned"
W000115,SITE_KIT_01,2025-11-18,DSH_DALTADKA,,0.102,kg,7.85,plate_waste,service,manual,1 plates partly returned
W000116,SITE_KIT_01,2025-11-18,DSH_ROGANJOSH,,0.173,kg,113.5,overproduction,post_service,pos_derived,"3 portions unsold, 0.5 binned"
W000117,SITE_KIT_01,2025-11-18,DSH_ROGANJOSH,,0.109,kg,71.46,plate_waste,service,manual,1 plates partly returned
W000118,SITE_KIT_01,2025-11-18,DSH_MIXVEG,,0.36,kg,24.02,overproduction,post_service,pos_derived,"5 portions unsold, 1.2 binned"
W000119,SITE_KIT_01,2025-11-18,DSH_FISHCURRY,,0.576,kg,206.92,overproduction,post_service,pos_derived,"8 portions unsold, 1.9 binned"
W000120,SITE_KIT_01,2025-11-18,DSH_FISHCURRY,,0.102,kg,36.64,plate_waste,service,manual,1 plates partly returned
W000121,SITE_KIT_01,2025-11-18,ING_ONION,,0.715,kg,27.18,prep_trim,prep,manual,yield 0.90 on 19.46 kg net
W000122,SITE_KIT_01,2025-11-18,ING_TOMATO,,0.218,kg,6.97,prep_trim,prep,manual,yield 0.96 on 15.26 kg net
W000123,SITE_KIT_01,2025-11-18,ING_GINGER,,0.027,kg,3.25,prep_trim,prep,manual,yield 0.88 on 0.59 kg net
W000124,SITE_KIT_01,2025-11-18,ING_GARLIC,,0.054,kg,9.64,prep_trim,prep,manual,yield 0.86 on 0.94 kg net
W000125,SITE_KIT_01,2025-11-18,ING_GCHILLI,,0.022,kg,1.55,prep_trim,prep,manual,yield 0.93 on 0.92 kg net
W000126,SITE_KIT_01,2025-11-18,ING_CORIANDER,,0.041,kg,2.47,prep_trim,prep,manual,yield 0.87 on 0.80 kg net
W000127,SITE_KIT_01,2025-11-18,ING_CARROT,,0.19,kg,8.56,prep_trim,prep,manual,yield 0.88 on 4.25 kg net
W000128,SITE_KIT_01,2025-11-18,ING_BEANS,,0.083,kg,4.96,prep_trim,prep,manual,yield 0.92 on 2.72 kg net
W000129,SITE_KIT_01,2025-11-18,ING_CAULI,,3.586,kg,143.43,prep_trim,prep,manual,yield 0.49 on 10.04 kg net
W000130,SITE_KIT_01,2025-11-18,ING_POTATO,,0.626,kg,17.52,prep_trim,prep,manual,yield 0.84 on 9.36 kg net
W000131,SITE_KIT_01,2025-11-18,ING_CAPSICUM,,0.171,kg,13.71,prep_trim,prep,manual,yield 0.82 on 2.24 kg net
W000132,SITE_KIT_01,2025-11-18,ING_SPINACH,,0.452,kg,13.55,prep_trim,prep,manual,yield 0.78 on 4.73 kg net
W000133,SITE_KIT_01,2025-11-18,ING_LEMON,,0.214,kg,19.22,prep_trim,prep,manual,yield 0.54 on 0.75 kg net
W000134,SITE_KIT_01,2025-11-18,ING_CUCUMBER,,0.129,kg,4.51,prep_trim,prep,manual,yield 0.87 on 2.46 kg net
W000135,SITE_KIT_01,2025-11-18,ING_CABBAGE,,0.067,kg,1.69,prep_trim,prep,manual,yield 0.89 on 1.64 kg net
W000136,SITE_KIT_01,2025-11-18,ING_BANANA,,0.301,kg,16.55,prep_trim,prep,manual,yield 0.70 on 2.05 kg net
W000137,SITE_KIT_01,2025-11-18,ING_BRINJAL,,0.112,kg,4.46,prep_trim,prep,manual,yield 0.87 on 2.26 kg net
W000138,SITE_KIT_01,2025-11-18,ING_OKRA,,0.115,kg,6.33,prep_trim,prep,manual,yield 0.89 on 2.67 kg net
W000139,SITE_KIT_01,2025-11-19,DSH_CHBIRYANI,,1.116,kg,236.29,overproduction,post_service,pos_derived,"8 portions unsold, 2.5 binned"
W000140,SITE_KIT_01,2025-11-19,DSH_PBM,,0.96,kg,277.92,overproduction,post_service,pos_derived,"16 portions unsold, 3.2 binned"
W000141,SITE_KIT_01,2025-11-19,DSH_GOBIMANCH,,2.268,kg,234.74,overproduction,post_service,pos_derived,"18 portions unsold, 8.1 binned"
W000142,SITE_KIT_01,2025-11-19,DSH_GOBIMANCH,,0.19,kg,19.71,plate_waste,service,manual,2 plates partly returned
W000143,SITE_KIT_01,2025-11-19,DSH_NAAN,,0.061,kg,6.74,plate_waste,service,manual,2 plates partly returned
W000144,SITE_KIT_01,2025-11-19,DSH_ROTI,,0.024,kg,1.27,plate_waste,service,manual,1 plates partly returned
W000145,SITE_KIT_01,2025-11-19,DSH_JEERARICE,,0.678,kg,58.95,overproduction,post_service,pos_derived,"11 portions unsold, 2.4 binned"
W000146,SITE_KIT_01,2025-11-19,DSH_DALTADKA,,0.36,kg,27.7,overproduction,post_service,pos_derived,"8 portions unsold, 1.2 binned"
W000147,SITE_KIT_01,2025-11-19,DSH_DALTADKA,,0.102,kg,7.85,plate_waste,service,manual,1 plates partly returned
W000148,SITE_KIT_01,2025-11-19,DSH_ROGANJOSH,,0.23,kg,151.33,overproduction,post_service,pos_derived,"4 portions unsold, 0.7 binned"
W000149,SITE_KIT_01,2025-11-19,DSH_VEGPULAO,,0.756,kg,77.11,overproduction,post_service,pos_derived,"9 portions unsold, 2.2 binned"
W000150,SITE_KIT_01,2025-11-19,DSH_MIXVEG,,0.36,kg,24.02,overproduction,post_service,pos_derived,"5 portions unsold, 1.2 binned"
W000151,SITE_KIT_01,2025-11-19,ING_ONION,,0.625,kg,23.74,prep_trim,prep,manual,yield 0.92 on 20.68 kg net
W000152,SITE_KIT_01,2025-11-19,ING_TOMATO,,0.222,kg,7.1,prep_trim,prep,manual,yield 0.96 on 15.88 kg net
W000153,SITE_KIT_01,2025-11-19,ING_GINGER,,0.025,kg,2.98,prep_trim,prep,manual,yield 0.90 on 0.64 kg net
W000154,SITE_KIT_01,2025-11-19,ING_GARLIC,,0.053,kg,9.54,prep_trim,prep,manual,yield 0.87 on 1.03 kg net
W000155,SITE_KIT_01,2025-11-19,ING_GCHILLI,,0.022,kg,1.56,prep_trim,prep,manual,yield 0.94 on 1.04 kg net
W000156,SITE_KIT_01,2025-11-19,ING_CORIANDER,,0.041,kg,2.44,prep_trim,prep,manual,yield 0.87 on 0.81 kg net
W000157,SITE_KIT_01,2025-11-19,ING_CARROT,,0.161,kg,7.23,prep_trim,prep,manual,yield 0.90 on 4.09 kg net
W000158,SITE_KIT_01,2025-11-19,ING_BEANS,,0.13,kg,7.8,prep_trim,prep,manual,yield 0.87 on 2.55 kg net
W000159,SITE_KIT_01,2025-11-19,ING_CAULI,,3.253,kg,130.14,prep_trim,prep,manual,yield 0.52 on 10.23 kg net
W000160,SITE_KIT_01,2025-11-19,ING_POTATO,,0.62,kg,17.36,prep_trim,prep,manual,yield 0.85 on 10.67 kg net
W000161,SITE_KIT_01,2025-11-19,ING_CAPSICUM,,0.155,kg,12.37,prep_trim,prep,manual,yield 0.84 on 2.34 kg net
W000162,SITE_KIT_01,2025-11-19,ING_SPINACH,,0.486,kg,14.58,prep_trim,prep,manual,yield 0.78 on 5.10 kg net
W000163,SITE_KIT_01,2025-11-19,ING_LEMON,,0.208,kg,18.7,prep_trim,prep,manual,yield 0.56 on 0.78 kg net
W000164,SITE_KIT_01,2025-11-19,ING_CUCUMBER,,0.155,kg,5.44,prep_trim,prep,manual,yield 0.85 on 2.56 kg net
W000165,SITE_KIT_01,2025-11-19,ING_CABBAGE,,0.079,kg,1.96,prep_trim,prep,manual,yield 0.88 on 1.71 kg net
W000166,SITE_KIT_01,2025-11-19,ING_BANANA,,0.351,kg,19.33,prep_trim,prep,manual,yield 0.67 on 2.13 kg net
W000167,SITE_KIT_01,2025-11-19,ING_BRINJAL,,0.111,kg,4.42,prep_trim,prep,manual,yield 0.88 on 2.35 kg net
W000168,SITE_KIT_01,2025-11-19,ING_OKRA,,0.096,kg,5.3,prep_trim,prep,manual,yield 0.91 on 2.77 kg net
W000169,SITE_KIT_01,2025-11-19,ING_ONION,B00080,6.055,kg,230.09,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.92"
W000170,SITE_KIT_01,2025-11-19,ING_BRINJAL,B00089,0.316,kg,12.64,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.91"
W000171,SITE_KIT_01,2025-11-19,ING_PEAS,B00091,0.351,kg,31.59,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.99"
W000172,SITE_KIT_01,2025-11-19,ING_MINT,B00092,0.046,kg,2.76,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.95"
W000173,SITE_KIT_01,2025-11-19,ING_BEANS,B00095,0.348,kg,20.88,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.89"
W000174,SITE_KIT_01,2025-11-19,ING_MUSHROOM,B00096,0.085,kg,18.7,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 1.00"
W000175,SITE_KIT_01,2025-11-19,ING_CUCUMBER,B00097,0.249,kg,8.71,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.91"
W000176,SITE_KIT_01,2025-11-19,ING_BANANA,B00098,1.049,kg,57.69,quality_rejection,storage,manual,"rejected at goods receipt, intake grade 0.95"
W000177,SITE_KIT_01,2025-11-19,ING_MINT,B00043,0.493,kg,29.55,spoilage,storage,manual,"received 2025-11-16, zone ZN_COLD"
W000178,SITE_KIT_01,2025-11-19,ING_CURRYLEAF,B00044,0.474,kg,37.96,spoilage,storage,manual,"received 2025-11-16, zone ZN_COLD"
W000179,SITE_KIT_01,2025-11-20,DSH_CHBIRYANI,,1.674,kg,354.44,overproduction,post_service,pos_derived,"12 portions unsold, 3.7 binned"
W000180,SITE_KIT_01,2025-11-20,DSH_CHBIRYANI,,0.153,kg,32.4,plate_waste,service,manual,1 plates partly returned
W000181,SITE_KIT_01,2025-11-20,DSH_PBM,,0.204,kg,59.06,plate_waste,service,manual,2 plates partly returned
W000182,SITE_KIT_01,2025-11-20,DSH_GOBIMANCH,,0.286,kg,29.56,plate_waste,service,manual,3 plates partly returned
W000183,SITE_KIT_01,2025-11-20,DSH_PALAK,,0.102,kg,18.4,plate_waste,service,manual,1 plates partly returned
W000184,SITE_KIT_01,2025-11-20,DSH_ROTI,,0.024,kg,1.27,plate_waste,service,manual,1 plates partly returned
W000185,SITE_KIT_01,2025-11-20,DSH_JEERARICE,,0.431,kg,37.51,overproduction,post_service,pos_derived,"7 portions unsold, 1.5 binned"
W000186,SITE_KIT_01,2025-11-20,DSH_JEERARICE,,0.19,kg,16.56,plate_waste,service,manual,2 plates partly returned
W000187,SITE_KIT_01,2025-11-20,DSH_DALTADKA,,0.204,kg,15.69,plate_waste,service,manual,2 plates partly returned
W000188,SITE_KIT_01,2025-11-20,DSH_ROGANJOSH,,0.23,kg,151.33,overproduction,post_service,pos_derived,"4 portions unsold, 0.7 binned"
W000189,SITE_KIT_01,2025-11-20,DSH_ROGANJOSH,,0.109,kg,71.46,plate_waste,service,manual,1 plates partly returned
W000190,SITE_KIT_01,2025-11-20,DSH_VEGPULAO,,0.336,kg,34.27,overproduction,post_service,pos_derived,"4 portions unsold, 1.0 binned"
W000191,SITE_KIT_01,2025-11-20,DSH_DOSA,,0.085,kg,7.96,plate_waste,service,manual,1 plates partly returned
W000192,SITE_KIT_01,2025-11-20,DSH_MIXVEG,,0.72,kg,48.05,overproduction,post_service,pos_derived,"10 portions unsold, 2.4 binned"
W000193,SITE_KIT_01,2025-11-20,ING_ONION,,0.733,kg,27.86,prep_trim,prep,manual,yield 0.91 on 21.51 kg net
W000194,SITE_KIT_01,2025-11-20,ING_TOMATO,,0.184,kg,5.87,prep_trim,prep,manual,yield 0.97 on 17.06 kg net
W000195,SITE_KIT_01,2025-11-20,ING_GARLIC,,0.06,kg,10.79,prep_trim,prep,manual,yield 0.86 on 1.10 kg net
